timestamp,open,high,low,close,volume
2020-01-01,109.21,109.21,107.67,107.67,4144.6
2020-01-02,108.18,108.7,108.18,108.18,5904.1
2020-01-05,107.67,107.67,105.12,106.14,3186.65
2020-01-06,105.63,106.39,104.6,106.39,8680.2
2020-01-07,105.88,105.88,105.12,105.12,3929.55
2020-01-08,104.86,104.86,104.6,104.6,1994.1
2020-01-09,104.6,104.6,104.09,104.09,3675.4
2020-01-12,103.84,105.12,103.58,104.6,5466.18
2020-01-13,104.6,104.6,103.58,103.58,11456.3
2020-01-14,103.84,106.65,103.84,105.88,7331.25
2020-01-15,106.39,106.39,106.14,106.14,2205.24
2020-01-16,106.65,108.18,106.65,107.93,2893.4
2020-01-19,108.44,108.95,107.93,107.93,664.7
2020-01-20,108.44,108.44,108.44,108.44,527.85
2020-01-21,108.44,108.44,108.44,108.44,195.5
2020-01-26,108.95,108.95,108.44,108.44,13724.1
2020-01-27,108.95,109.46,108.95,109.46,78.2
2020-01-28,111.25,111.25,109.97,109.97,78.2
2020-01-29,111.76,111.76,111,111,430.1
2020-01-30,111,111,110.23,110.23,5865
2020-02-04,112.02,112.02,112.02,112.02,39.1
2020-02-06,111.25,111.25,108.18,108.18,9384
2020-02-09,107.67,107.67,104.86,106.14,12031.07
2020-02-10,106.14,106.39,106.14,106.39,3870.9
2020-02-11,105.88,106.39,104.86,106.39,6197.35
2020-02-12,105.88,106.14,105.37,105.37,3753.6
2020-02-13,105.63,106.91,105.63,106.91,9516.94
2020-02-16,106.65,106.65,106.39,106.39,1290.3
2020-02-17,106.91,107.42,106.91,106.91,860.2
2020-02-18,106.39,106.39,105.63,105.63,4011.66
2020-02-19,105.63,105.63,105.37,105.63,3245.3
2020-02-20,105.63,107.16,106.14,106.65,2619.7
2020-02-23,106.65,106.65,106.65,106.65,508.3
2020-02-24,106.65,106.65,105.63,105.63,4692
2020-02-25,105.88,107.93,105.88,107.16,42716.75
2020-02-26,107.67,110.49,107.67,110.23,25559.67
2020-02-27,111,113.55,111,113.3,24038.68
2020-03-01,113.3,113.3,111.51,111.51,2314.72
2020-03-02,112.28,112.28,109.97,109.97,8343.94
2020-03-03,109.97,111.25,109.21,111.25,9165.04
2020-03-05,110.49,110.49,110.49,110.49,1955
2020-03-11,109.72,109.72,107.67,107.67,2549.32
2020-03-12,107.93,107.93,105.12,105.12,4320.55
2020-03-15,104.6,104.6,103.58,104.09,5083
2020-03-16,104.6,104.6,104.09,104.35,3882.63
2020-03-17,103.84,103.84,103.32,103.32,488.75
2020-03-18,102.81,102.81,102.3,102.81,12277.4
2020-03-19,102.3,102.81,102.3,102.3,1642.2
2020-07-06,102.81,104.35,102.81,104.35,1016.6
2020-07-07,104.86,106.39,104.86,106.39,7585.4
2020-07-08,106.39,107.42,106.39,107.42,469.2
2020-07-09,107.93,107.93,107.93,107.93,39.1
2020-07-12,107.42,107.42,106.91,106.91,469.2
2020-07-13,106.39,106.39,106.14,106.14,2725.27
2020-07-14,106.65,106.65,105.12,105.12,2326.45
2020-07-15,105.12,105.12,105.12,105.12,2971.6
2020-07-16,104.86,105.63,104.86,105.63,1642.2
2020-07-20,106.14,107.16,106.14,107.16,15698.65
2020-07-21,107.67,107.67,106.14,106.14,6603.99
2020-07-22,105.63,105.63,105.12,105.63,2467.21
2020-07-23,106.14,106.65,105.12,105.12,4934.42
2020-07-26,105.12,105.12,104.6,105.12,887.57
2020-07-27,105.63,106.14,105.63,105.63,2189.6
2020-07-28,105.37,105.88,105.12,105.88,5904.1
2020-07-29,105.88,105.88,105.88,105.88,782
2020-07-30,106.39,106.39,106.39,106.39,78.2
2020-08-02,106.91,109.72,106.91,109.72,26666.2
2020-08-03,110.23,113.3,110.23,113.3,8211
2020-08-05,115.35,117.39,115.35,117.39,98715.77
2020-08-06,118.16,121.74,118.16,121.74,105304.12
2020-08-09,124.04,126.6,121.74,121.99,67365.39
2020-08-10,121.99,126.6,117.14,124.04,20410.2
2020-08-11,123.02,123.02,118.93,118.93,2189.6
2020-08-12,116.62,118.93,114.32,116.88,20863.76
2020-08-13,116.88,116.88,112.53,114.32,54302.08
2020-08-16,113.55,114.32,111.25,113.55,11827.75
2020-08-17,114.32,115.09,112.02,112.79,12046.71
2020-08-18,112.79,113.3,112.28,113.3,10498.35
2020-08-19,113.55,113.55,112.53,112.79,2971.6
2020-08-20,113.55,113.55,112.53,113.3,6373.3
2020-08-23,113.81,114.32,113.55,114.32,14467
2020-08-24,114.83,116.37,114.83,116.37,28030.79
2020-08-25,117.14,120.72,116.37,116.37,35698.3
2020-08-26,117.14,119.95,117.14,119.69,27127.58
2020-08-27,120.46,120.97,118.41,118.41,26396.41
2020-08-30,118.41,118.16,117.65,117.65,977.5
2020-08-31,118.41,119.95,117.39,118.67,9677.25
2020-09-02,119.44,119.44,115.6,117.14,18756.27
2020-09-03,116.62,118.16,115.35,118.16,17927.35
2020-09-06,118.16,118.41,116.88,117.65,20742.55
2020-09-07,117.14,117.14,115.35,116.11,7014.54
2020-09-08,115.35,116.11,115.35,116.11,6040.95
2020-09-09,115.35,117.14,115.35,115.86,12691.86
2020-09-10,116.62,119.44,116.62,119.18,32941.75
2020-09-13,119.18,119.95,118.41,119.44,15268.55
2020-09-14,121.74,121.99,119.95,119.95,40143.97
2020-09-15,120.72,124.55,120.46,121.74,39549.65
2020-09-16,124.04,124.04,120.2,120.46,12058.44
2020-09-17,120.97,123.27,120.97,123.02,34060.01
2020-09-20,125.58,125.58,122.25,122.25,38728.55
2020-09-21,124.55,124.55,122.25,122.76,18040.74
2020-09-22,123.02,123.53,121.99,122.25,21962.47
2020-09-23,122.25,123.27,122.25,122.76,18846.2
2020-09-24,125.06,125.06,121.99,122.76,26388.59
2020-09-27,125.06,127.62,125.06,127.62,29266.35
2020-09-28,130.18,132.99,130.18,132.99,15761.21
2020-09-29,135.81,138.87,135.81,138.87,105871.07
2020-09-30,142.2,145.52,132.23,134.27,94434.32
2020-10-01,133.25,136.06,133.25,133.25,28171.55
2020-10-04,132.23,135.29,128.39,132.74,42802.77
2020-10-05,133.25,138.62,132.74,138.36,101159.52
2020-10-06,141.69,145.01,141.69,145.01,48753.79
2020-10-07,148.59,152.17,148.59,151.66,98590.65
2020-10-08,155.5,155.5,146.55,148.59,33043.41
2020-10-11,148.59,148.59,140.92,143.99,49930.7
2020-10-12,140.41,146.04,140.41,142.71,19295.85
2020-10-13,143.48,144.5,141.43,142.71,29106.04
2020-10-14,146.04,149.62,146.04,149.62,56069.4
2020-10-15,153.45,157.29,153.45,157.29,75216.67
2020-10-18,161.38,165.47,150.64,151.92,109671.59
2020-10-19,153.45,154.48,150.64,154.48,79157.95
2020-10-20,158.57,158.57,151.92,152.94,34513.57
2020-10-21,154.22,154.22,148.59,148.85,66939.2
2020-10-22,154.71,163.53,154.71,163.53,19655.57
2020-10-28,169.41,175.29,169.41,175.29,2482.85
2020-10-29,181.76,188.24,181.76,188.24,10158.18
2020-11-01,195.29,202.94,195.29,202.94,18154.13
2020-11-02,210.59,218.82,197.06,214.71,157221.1
2020-11-03,217.65,220.59,211.76,212.94,39561.38
2020-11-04,215.88,215.88,205.88,208.82,18056.38
2020-11-05,205.88,206.47,203.53,205.88,12543.28
2020-11-08,202.94,202.94,197.06,200,45074.48
2020-11-09,202.94,205.88,202.35,202.35,14920.56
2020-11-10,202.94,202.94,201.18,202.94,9399.64
2020-11-11,205.88,205.88,200,202.35,5865
2020-11-12,201.76,201.76,199.41,200.59,11698.72
2020-11-18,200.59,201.18,198.24,200.59,7898.2
2020-11-19,198.82,200,197.06,198.82,17731.85
2020-11-22,198.82,205.88,191.76,199.41,48464.45
2020-11-23,202.35,202.35,199.41,199.41,10701.67
2020-11-24,201.76,201.76,197.06,197.06,16269.51
2020-11-25,195.88,198.82,194.12,194.12,14036.9
2020-11-26,195.88,195.88,194.12,194.12,7714.43
2020-11-29,194.12,194.12,188.24,190.59,23940.93
2020-11-30,190.59,190.59,186.47,187.65,10381.05
2020-12-01,186.47,187.06,182.35,186.47,40957.25
2020-12-02,187.06,187.06,184.12,184.12,14740.7
2020-12-03,184.12,184.12,181.18,181.76,21336.87
2020-12-06,179.41,182.35,175.29,175.29,12515.91
2020-12-07,175.88,182.35,173.53,181.76,10861.98
2020-12-08,183.53,183.53,181.18,181.18,4985.25
2020-12-09,178.82,181.18,174.12,176.47,25059.19
2020-12-10,178.82,183.53,174.12,176.47,11651.8
2020-12-13,178.82,180.59,174.12,176.47,2170.05
2020-12-14,176.47,181.18,171.76,176.47,12809.16
2020-12-15,178.82,178.82,174.71,175.88,2467.21
2020-12-16,174.71,177.06,168.82,173.53,10588.28
2020-12-17,175.29,178.24,175.29,178.24,16476.74
2020-12-20,180,180,169.41,169.41,7487.65
2020-12-21,167.06,170.59,160.59,167.06,9649.88
2020-12-22,167.06,167.06,164.12,167.06,10729.04
2020-12-23,169.41,170,165.29,170,17997.73
2020-12-24,168.82,168.82,165.88,166.47,15323.29
2020-12-27,165.29,167.65,164.12,164.12,5689.05
2020-12-28,166.47,166.47,158.24,162.35,18799.28
2020-12-29,162.94,166.47,160.59,163.53,12441.62
2020-12-30,163.53,164.71,160.59,162.94,16734.8
2020-12-31,161.18,162.35,160,162.35,10079.98
2021-01-03,160,168.24,160,168.24,10056.52
2021-01-04,170.59,172.94,163.53,163.53,7761.35
2021-01-05,164.71,170,164.71,168.24,10036.97
2021-01-06,170,177.65,170,176.47,30126.55
2021-01-07,178.82,181.18,175.29,176.47,19475.71
2021-01-10,182.35,190,181.76,188.24,40738.29
2021-01-11,188.24,188.24,186.47,187.06,25481.47
2021-01-12,187.06,187.06,185.29,185.29,27467.75
2021-01-13,185.29,190,185.29,185.88,14044.72
2021-01-17,187.06,187.06,184.71,185.88,12918.64
2021-01-18,187.06,200,185.29,200,31283.91
2021-01-19,207.06,215.88,202.94,215.88,121765.22
2021-01-20,224.12,232.94,224.12,232.94,35663.11
2021-01-21,242.35,251.76,242.35,251.76,29305.45
2021-01-24,255.88,272.35,231.18,261.18,143180.29
2021-01-25,265.29,273.53,245.88,250.59,59416.36
2021-01-26,246.47,247.65,235.88,243.53,61879.66
2021-01-27,247.06,247.06,232.94,234.12,21845.17
2021-01-28,243.53,243.53,218.82,230,64358.6
2021-01-31,230.59,230.59,220.59,220.59,36441.2
2021-02-01,223.53,230,220.59,227.06,14365.34
2021-02-02,227.06,230.59,227.06,227.06,15741.66
2021-02-03,226.47,241.76,226.47,234.12,26697.48
2021-02-04,234.12,235.88,228.82,228.82,22071.95
2021-02-07,237.65,237.65,210.59,217.06,459252.96
2021-02-08,216.47,230.59,211.76,228.82,247745.42
2021-02-09,228.82,232.35,222.35,223.53,54059.66
2021-02-10,227.65,227.65,220.59,224.71,95947.49
2021-02-11,216.47,230.59,216.47,219.41,134867.63
2021-02-14,216.47,216.47,210.59,215.29,88549.77
2021-02-15,218.24,218.24,215.29,216.47,73867.72
2021-02-16,218.24,218.82,213.53,214.71,35107.89
2021-02-17,217.65,217.65,211.18,212.94,100443.99
2021-02-18,221.18,221.18,211.18,214.71,69031.05
2021-02-21,217.65,217.65,212.94,212.94,64229.57
2021-02-22,215.88,215.88,211.76,212.94,54212.15
2021-02-23,220.59,230,218.24,230,596744.2
2021-02-24,239.41,248.82,239.41,248.82,216555.35
2021-02-25,258.82,269.41,240,241.76,343520.87
2021-02-28,241.76,242.35,225.29,228.24,238099.45
2021-03-01,226.47,240,224.12,231.76,115481.85
2021-03-02,231.76,234.12,220.59,225.29,72331.09
2021-03-03,225.29,228.82,217.65,226.47,56233.62
2021-03-04,230,233.53,224.71,229.41,22975.16
2021-03-08,229.41,241.18,225.29,231.76,79670.16
2021-03-09,230.59,230.59,225.88,227.06,53879.8
2021-03-10,235.88,235.88,221.76,223.53,60593.27
2021-03-14,227.06,230,217.65,221.18,47705.91
2021-03-15,224.71,224.71,215.29,222.35,41316.97
2021-03-16,222.94,225.29,217.06,220,27135.4
2021-03-17,228.82,228.82,218.82,222.35,36355.18
2021-03-18,222.35,225.88,220.59,224.71,24695.56
2021-03-21,227.65,227.65,221.76,222.94,31287.82
2021-03-22,225.29,225.29,219.41,220,56065.49
2021-03-23,220,221.76,220,221.76,22588.07
2021-03-24,225.29,225.29,220,222.35,56307.91
2021-03-25,223.53,223.53,220,221.76,41367.8
2021-03-29,220.59,222.35,219.41,220.59,30928.1
2021-03-30,218.82,222.35,218.82,221.18,50079.28
2021-03-31,223.53,224.71,220,221.76,44296.39
2021-04-01,223.53,232.35,222.35,227.65,120060.46
2021-04-04,231.18,231.18,224.71,227.65,28945.73
2021-04-05,220,230.59,220,224.12,56190.61
2021-04-06,227.65,227.65,221.18,224.12,41774.44
2021-04-07,221.18,226.47,221.18,222.94,34095.2
2021-04-08,226.47,230,224.71,225.29,102015.81
2021-04-12,228.82,232.35,226.47,226.47,73355.51
2021-04-13,227.06,230,223.53,224.71,28777.6
2021-04-15,222.35,228.24,221.18,225.88,62689.03
2021-04-18,226.47,227.06,221.18,222.94,59869.92
2021-04-19,222.35,224.71,220.59,220.59,47788.02
2021-04-20,222.35,225.88,219.41,221.18,43905.39
2021-04-21,224.12,224.12,220,220,46114.54
2021-04-22,218.82,222.35,218.82,220,48523.1
2021-04-25,218.82,221.18,214.71,217.06,75459.09
2021-04-26,214.71,214.71,210.59,214.12,93961.21
2021-04-27,211.76,220.59,211.76,220.59,20640.89
2021-04-28,217.65,220.59,217.06,217.65,16922.48
2021-04-29,217.65,217.65,216.47,217.65,17262.65
2021-05-02,217.65,221.18,217.65,218.24,25915.48
2021-05-03,227.06,227.06,220,220,87517.53
2021-05-04,218.24,223.53,218.24,221.18,9239.33
2021-05-05,227.06,227.06,220,220.59,28374.87
2021-05-06,229.41,229.41,218.82,220.59,57477
2021-05-09,229.41,229.41,216.47,216.47,51479.06
2021-05-10,219.41,221.76,215.88,221.18,89175.37
2021-05-11,221.18,222.35,220,221.18,12918.64
2021-05-12,222.35,227.65,220,223.53,85413.95
2021-05-13,224.12,237.65,224.12,232.35,358140.36
2021-05-16,235.29,244.12,228.24,234.71,157698.12
2021-05-17,244.12,253.53,234.12,253.53,510692.92
2021-05-18,264.12,274.71,264.12,274.71,131606.69
2021-05-19,285.88,297.65,260.59,297.65,1056372.52
2021-05-20,305.88,305.88,280,299.41,530989.73
2021-05-23,297.06,302.35,281.18,295.88,351098.45
2021-05-24,300,300,282.35,288.24,247194.11
2021-05-25,300.59,300.59,280,281.76,190155.03
2021-05-27,281.76,296.47,273.53,285.88,169283.45
2021-05-30,290.59,294.12,281.18,287.06,231604.94
2021-05-31,290.59,290.59,273.53,275.29,167035.2
2021-06-01,276.47,279.41,271.18,275.88,88448.11
2021-06-02,275.88,292.35,273.53,291.18,255115.77
2021-06-03,291.18,310.59,290.59,291.76,443675.52
2021-06-06,291.18,294.12,280,283.53,126175.7
2021-06-07,285.29,300,285.29,296.47,255080.58
2021-06-08,300,321.76,300,321.76,388020.58
2021-06-09,321.76,332.35,305.29,311.76,386972.7
2021-06-10,311.76,317.06,300,315.29,272530.91
2021-06-13,320.59,342.35,315.29,342.35,498341.23
2021-06-14,347.06,367.65,334.12,337.65,258783.35
2021-06-15,338.24,338.24,318.82,320,222392.98
2021-06-16,317.65,317.65,292.35,292.94,229270.67
2021-06-17,292.94,311.76,283.53,307.06,214713.74
2021-06-20,308.82,317.06,284.71,295.29,121651.83
2021-06-21,282.94,305.88,282.94,290.59,109530.83
2021-06-22,294.12,310.59,285.29,309.41,73371.15
2021-06-23,304.12,307.06,292.35,294.71,86235.05
2021-06-24,294.71,300.59,290,297.65,73609.66
2021-06-27,300,302.35,292.94,300.59,105096.89
2021-06-28,305.29,310,299.41,302.94,140998.51
2021-06-29,307.65,307.65,297.06,297.65,99720.64
2021-06-30,301.76,322.94,292.94,322.94,397576.62
2021-07-01,336.47,336.47,318.24,318.82,175996.92
2021-07-04,321.76,334.71,312.35,330,354593.99
2021-07-05,335.29,352.94,330.59,335.29,323736.27
2021-07-06,341.18,341.76,330,332.94,134105.18
2021-07-07,329.41,335.29,327.06,328.82,68945.03
2021-07-08,324.12,333.53,324.12,330.59,108353.92
2021-07-11,323.53,358.24,323.53,351.76,225497.52
